Team,Sex,Age,NOC,Games,Year,Sport,Event,Medal,AgeGroup,Total_Gold_Medals,Total_Silver_Medals,Total_Bronze_Medals,Total_Historical_Medals,Total_Medal_Value,Cluster,Sponsorship_Prediction
"Germania Ruder Club, Hamburg-2",M,15.0,GER,1900 Summer,1900,Rowing,Rowing Men's Coxed Fours,Gold,15-19,5.0,0.0,0.0,5.0,15.0,0,Low Probability
Germany,M,24.0,GER,2002 Winter,2002,Nordic Combined,Nordic Combined Men's Team,Silver,20-24,679.0,627.0,678.0,1984.0,3969.0,2,High Probability
Germany-1,M,34.0,GER,2000 Summer,2000,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Bronze,30-34,28.0,20.0,22.0,70.0,146.0,0,Low Probability
Germany-2,M,27.0,GER,2010 Winter,2010,Bobsleigh,Bobsleigh Men's Two,Silver,25-29,14.0,4.0,11.0,29.0,61.0,0,Low Probability
Ghana,M,18.0,GHA,1992 Summer,1992,Football,Football Men's Football,Bronze,15-19,0.0,1.0,22.0,23.0,24.0,0,Low Probability
Gitana-2,M,25.556898357297374,FRA,1900 Summer,1900,Sailing,Sailing Mixed 3-10 Ton,Bronze,25-29,0.0,5.0,5.0,10.0,15.0,0,Low Probability
Glider,M,37.0,USA,1964 Summer,1964,Sailing,Sailing Mixed Two Person Keelboat,Silver,35-39,0.0,2.0,0.0,2.0,4.0,0,Low Probability
Great Britain,M,21.0,GBR,1980 Summer,1980,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,20-24,519.0,582.0,572.0,1673.0,3293.0,2,High Probability
Great Britain-1,F,30.0,GBR,1912 Summer,1912,Tennis,"Tennis Mixed Doubles, Covered Courts",Silver,30-34,20.0,10.0,4.0,34.0,84.0,0,Low Probability
Great Britain-2,M,27.0,GBR,2000 Summer,2000,Badminton,Badminton Mixed Doubles,Bronze,25-29,4.0,10.0,14.0,28.0,46.0,0,Low Probability
Great Britain-3,M,38.0,GBR,1908 Summer,1908,Tennis,Tennis Men's Doubles,Bronze,35-39,0.0,2.0,4.0,6.0,8.0,0,Low Probability
